NDVImean,GNDVI,canopy_size,rededge_ndvi,rtvi_core,mtvi,ci_rededge,ci_green,irrigation,wtkgm,non_m,totalw,label,label3
0.663693,0.499706,3.48,0.340211,4.895172443,0.470769,1.070208,2.080186,1,22.46,3.32,25.78,0,1
0.691926,0.487528,4.784,0.327217,4.462336058,0.429007,0.996528,1.986437,1,7.06,0,7.06,0,0
0.69759,0.521105,5.283,0.372222,4.948609389,0.479147,1.225508,2.311526,1,30.46,4.42,34.88,1,2
0.700195,0.514967,3.901,0.356204,5.088222276,0.470421,1.13561,2.191824,1,21.62,1.4,23.02,0,0
0.71404,0.519341,3.895,0.357363,5.024747959,0.467959,1.146723,2.2394,1,12.46,0.48,12.94,0,0
0.66578,0.472749,6.643,0.355802,4.202745416,0.414378,1.139071,1.966474,1,31.6,2.82,34.42,1,1
0.677644,0.477647,3.212,0.326256,4.282244116,0.422975,0.994701,1.889815,1,7.38,0.28,7.66,0,0
0.681725,0.494785,3.957,0.332158,4.609419535,0.450134,1.031168,2.040133,1,10.82,0.26,11.08,0,0
0.669805,0.471046,5.883,0.330875,4.133095445,0.411228,1.021162,1.915855,1,8.8,1.19,9.99,0,0
0.598201,0.41773,6.111,0.30184,3.595353657,0.364103,0.891671,1.589239,1,8.8,1.19,9.99,0,0
0.569801,0.413981,4.788,0.31176,3.175376942,0.384074,0.932943,1.52567,1,14.24,11.02,25.26,0,1
0.633706,0.451052,6.484,0.325184,3.685893384,0.402101,0.989591,1.780312,1,27.6,0.3,27.9,0,1
0.658113,0.472538,5.907,0.337892,3.864368292,0.425346,1.050344,1.914426,1,20.2,1.64,21.84,0,0
0.605961,0.445734,6.464,0.331739,3.632403171,0.41362,1.018292,1.748854,1,16.78,11.22,28,0,1
0.65072,0.46883,4.583,0.354402,3.846735544,0.421567,1.131564,1.897139,1,25.96,8.1,34.06,1,1
0.695831,0.516782,4.33,0.357545,5.642854434,0.474098,1.154938,2.258439,1,26.54,4.6,31.14,1,1
0.681229,0.493606,5.372,0.351689,5.556223213,0.44338,1.124086,2.092967,1,16.42,13.9,30.32,1,1
0.693665,0.48767,4.167,0.338393,5.332853396,0.428164,1.053674,1.9901,1,20.28,2.08,22.36,0,0
0.709699,0.526487,5.203,0.378241,6.23612808,0.480285,1.249032,2.345386,1,28.94,18.6,47.54,1,2
0.725873,0.534428,5.203,0.383814,6.097914588,0.483382,1.284866,2.406969,1,31.62,1.64,33.26,1,1
0.722293,0.530193,3.54,0.357007,5.310046384,0.480141,1.153894,2.349863,2,26.06,1.5,27.56,0,1
0.734711,0.562006,4.758,0.399633,5.524896112,0.521946,1.388449,2.692623,2,21.24,2.06,23.3,0,0
0.74101,0.561419,3.764,0.405316,5.476870191,0.517741,1.433802,2.665216,2,17.46,1.68,19.14,0,0
0.734738,0.557982,5.079,0.404148,5.381813526,0.514566,1.423285,2.667378,2,22.38,4.62,27,0,1
0.729203,0.559361,5.608,0.405142,5.343375143,0.519865,1.418464,2.687056,2,25.1,2.6,27.7,0,1
0.642487,0.465125,5.632,0.334194,4.173717223,0.420832,1.03061,1.862138,2,32.92,8.2,41.12,1,2
0.631963,0.456703,5.524,0.333601,4.027459558,0.413024,1.034222,1.817853,2,24.4,2,26.4,0,1
0.702855,0.502522,7.074,0.356167,4.680854792,0.44431,1.145836,2.161565,2,24.26,3.9,28.16,0,1
0.734291,0.524821,5.627,0.356568,5.008194544,0.461883,1.14724,2.33942,2,17.76,1.16,18.92,0,0
0.728466,0.531683,5.321,0.362215,5.193652039,0.4773,1.174576,2.381932,2,18.26,3.1,21.36,0,0
0.691873,0.502675,3.941,0.348057,5.252048236,0.453281,1.095952,2.127341,2,17.94,2.54,20.48,0,0
0.680427,0.488653,4.94,0.351563,4.879894757,0.435967,1.116101,2.032168,2,23.46,6.64,30.1,1,1
0.710033,0.510701,5.719,0.361284,5.581250201,0.452709,1.165392,2.228252,2,30.88,6.82,37.7,1,2
0.682741,0.499751,4.763,0.366305,5.249587865,0.454263,1.196989,2.121584,2,18.62,5.78,24.4,0,1
0.716215,0.535674,5.636,0.391355,5.912139798,0.487748,1.333859,2.481648,2,42.96,9.82,52.78,1,2
0.732058,0.513285,4.935,0.370467,4.946683445,0.441638,1.219581,2.254411,2,17.3,2.52,19.82,0,0
0.721552,0.526173,5.415,0.368791,5.195794404,0.473841,1.214556,2.325549,2,27.88,3.2,31.08,1,1
0.644193,0.466755,5.182,0.351093,4.530305152,0.423346,1.113637,1.884856,2,29.4,5.2,34.6,1,1
0.720886,0.527305,4.889,0.376254,5.436548497,0.473127,1.252107,2.377538,2,22.12,1.48,23.6,0,1
0.712762,0.501139,5.001,0.351983,5.051511718,0.435847,1.130262,2.141331,2,16.52,0.78,17.3,0,0
0.719256,0.536035,4.43,0.390948,4.894282032,0.488047,1.329847,2.489266,3,25.12,1.56,26.68,0,1
0.738402,0.555508,6.275,0.411522,4.950925944,0.50661,1.457579,2.689481,3,35.94,5.78,41.72,1,2
0.729193,0.570242,5.987,0.436469,5.190695256,0.533879,1.634049,2.909776,3,35.5,12.3,47.8,1,2
0.744284,0.578811,7.56,0.450214,4.851042368,0.538431,1.731831,3.008257,3,34.1,16.14,50.24,1,2
0.746887,0.584088,5.855,0.432227,5.471529564,0.545189,1.622756,3.074267,3,13.68,4.32,18,0,0
0.767442,0.589379,6.22,0.438038,6.151536222,0.540914,1.624172,3.062042,3,23.68,2.78,26.46,0,1
0.727869,0.557195,5.469,0.408176,5.99123443,0.517507,1.436471,2.68025,3,32.4,8.3,40.7,1,2
0.717948,0.527077,6.109,0.398472,4.92966348,0.473517,1.381675,2.439047,3,17.36,1.34,18.7,0,0
0.726993,0.539177,6.647,0.382937,5.244025109,0.489349,1.294117,2.524299,3,17.9,3.2,21.1,0,0
0.761509,0.561032,5.952,0.391157,5.61090247,0.502766,1.339429,2.683615,3,15.46,2.56,18.02,0,0
0.74895,0.556357,6.976,0.409673,5.453127122,0.50096,1.443855,2.712796,3,19.1,3.76,22.86,0,0
0.730142,0.540609,5.679,0.378173,5.546486688,0.49042,1.258909,2.492404,3,17.74,3.44,21.18,0,0
0.730319,0.548012,7.346,0.374731,5.658362932,0.503033,1.253634,2.576164,3,24.92,4.8,29.72,1,1
0.751285,0.564091,5.056,0.397468,5.505692326,0.514013,1.368957,2.693323,3,27.14,8.86,36,1,2
0.754775,0.554953,5.781,0.386984,5.510527435,0.497609,1.304817,2.605557,3,24.46,2.9,27.36,0,1
0.739129,0.529274,6.285,0.377228,5.117538743,0.466158,1.263143,2.368476,3,27.78,6.02,33.8,1,1
0.72493,0.530688,5.09,0.384177,5.404147191,0.476714,1.290703,2.40426,3,26.4,6.88,33.28,1,1
0.715162,0.533629,5.891,0.406227,5.204390307,0.485523,1.420021,2.472719,3,28.86,3.18,32.04,1,1
0.69786,0.505007,7.111,0.376517,4.798783926,0.451049,1.264419,2.242912,3,22.3,1.82,24.12,0,1
0.728742,0.53942,4.929,0.3929,5.503206878,0.488986,1.34009,2.48078,3,20.76,6.32,27.08,0,1
0.736206,0.54401,5.213,0.408096,5.326167312,0.487239,1.436576,2.619125,4,15.28,2.9,18.18,0,0
0.693103,0.509417,6.871,0.392901,4.586338422,0.458903,1.360105,2.322452,4,31.1,10.7,41.8,1,2
0.717517,0.525944,5.881,0.387159,4.723473372,0.47228,1.307379,2.380694,4,24.4,12.18,36.58,1,2
0.723492,0.550902,5.674,0.410086,5.181945629,0.510024,1.446809,2.620008,4,32.44,0,32.44,1,1
0.719086,0.538592,7.332,0.412462,4.805620608,0.4911,1.467762,2.573427,4,29.94,4.82,34.76,1,1
0.740592,0.563326,4.949,0.412008,4.934468236,0.519061,1.454043,2.716795,4,30.12,8.38,38.5,1,2
0.737467,0.553708,5.712,0.412936,4.626376593,0.502979,1.45568,2.686829,4,28.5,9.88,38.38,1,2
0.702992,0.523861,6.362,0.392858,4.177193273,0.478914,1.341661,2.382537,4,30.52,6.72,37.24,1,2
0.678728,0.488343,6.68,0.359874,3.998883653,0.437036,1.16507,2.058595,4,30,12.98,42.98,1,2
0.693687,0.506122,7.34,0.377141,4.111679414,0.455815,1.255863,2.212351,4,42.08,4.98,47.06,1,2
0.681324,0.507777,5.58,0.368198,5.018616165,0.470092,1.223394,2.194531,4,29.34,7.78,37.12,1,2
0.703959,0.509435,4.792,0.383185,4.856841548,0.452655,1.290253,2.262496,4,15.44,22.62,38.06,1,2
0.729504,0.524923,3.733,0.382045,5.211044683,0.466248,1.278576,2.305446,4,8.16,6.56,14.72,0,0
0.738663,0.540245,4.547,0.387026,5.412258016,0.48523,1.321392,2.475681,4,19.82,3.96,23.78,0,0
0.728272,0.524691,6.627,0.391206,5.108524672,0.46266,1.352876,2.380441,4,25.46,16.34,41.8,1,2
0.765532,0.554838,5.519,0.398191,5.725880612,0.48895,1.384364,2.636668,4,19.9,6.3,26.2,0,1
0.735347,0.528887,6.113,0.394391,5.078014281,0.464543,1.366107,2.426729,4,14.64,10.82,25.46,0,1
0.751756,0.548436,6.203,0.409787,4.812418749,0.489561,1.435338,2.517954,4,30.34,12,42.34,1,2
0.729899,0.523875,6.315,0.388097,5.004579952,0.459034,1.322115,2.384568,4,28.72,13.18,41.9,1,2
0.756439,0.541388,5.481,0.403402,5.220735121,0.472002,1.401594,2.513859,4,27,10.74,37.74,1,2
